Codi;Descripció;Comptes
  PASSIU.B.IV;IV. Passius per impost diferit;479
  PASSIU.B.V;V. Periodificacions a ll/t;181
  PASSIU.B.VI;VI. Creditors comercials no corrents;
  PASSIU.B.VII;VII. Deutes amb característiques especials a ll/t;
 PASSIU.C;C) PASSIU CORRENT;
  PASSIU.C.I;I. Passius vincul. amb act. no corrents. mant. per a la venda;585,586,587,588,589
  PASSIU.C.II;II. Provisions a curt termini;499,529
  PASSIU.C.III;III. Deutes a curt termini;
   PASSIU.C.III.1;1. Obligacions i altres valors negociables;500,501,505,506
   PASSIU.C.III.2;2. Deutes amb entitats de crèdit;5105,520,527
   PASSIU.C.III.3;3. Creditors per arrendament financer;5125,524
   PASSIU.C.III.4;4. Derivats;5595,5598
   PASSIU.C.III.5;5. Altres passius financers;1034,1044,190,192,194,509,5115,5135,5145,521,522,523,525,526,528,5530,5532,555,5565,5566,560,561,569
  PASSIU.C.IV;IV. Deutes amb empreses del grup i associades a c/t;5103,5104,5113,5114,5123,5124,5133,5134,5143,5144,5563,5564,55231,55241
  PASSIU.C.V;V. Creditors comercials i altres comptes a pagar;
   PASSIU.C.V.1;1. Proveïdors;400,401,405,406
   PASSIU.C.V.2;2. Proveïdors, empreses del grup i associades;403,404
   PASSIU.C.V.3;3. Creditors varis;41
   PASSIU.C.V.4;4. Personal (remuneracions pendents de pagament);465,466
   PASSIU.C.V.5;5. Passius per impost corrent;4752
   PASSIU.C.V.6;6. Altres deutes amb les Administracions Públiques;4750,4751,4753,4755,4756,4758,476,477,478
   PASSIU.C.V.7;7. Acomptes de clients;438
  PASSIU.C.VI;VI. Periodificacions a curt termini;485,568
  PASSIU.C.VII;VII. Deutes amb característiques especials a c/t;
